policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
clobot_with_arms,0,fell,45.78,10,30.1976,17.6014,0.736773,2.61054,413.883,51.3817,24.7716,9.27835,0.401766,30.3675,20.5631,7.10964,9.92578,3.07903,337.982,44.4312,33.5994,26.8622,0.833147,27.672,18.3346,6.50026,9.50587,3.05802,375.889,46.0759,25.9754,9.3992,0.347716,25.3534,13.7634,6.1849,8.97555,2.11959,343.144,45.9606,14.2574,5.22804,0.220753,21.8539,14.7935,5.22973,6.58712,1.66446,448.694,51.792,21.423,8.60333,0.381859,26.7865,18.2412,5.66886,7.01209,2.4554,376.112,40.0594,16.6648,7.54002,0.367165,32.4361,14.4984,6.70241,9.0736,2.61384,342.438,29.904,8.6821,4.10264,0.18368,25.9639,11.3404,5.39646,7.24689,1.64109,314.504,29.0573,7.25388,2.98064,0.191814,22.2017,8.044,4.94793,6.39754,1.45254,440.54,50.6695,20.3145,8.17249,0.273172,24.0882,15.5007,5.60438,7.02017,1.77665,126.994,15.4745,27.1783,37.5236,3.25407,11.4061,7.48903,2.92239,8.34789,4.67774,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,1,fell,26.42,6,33.7094,32.4555,1.47822,3.73257,291.904,30.9189,11.2249,3.99293,0.219109,22.99,11.4727,5.15592,7.279,2.20942,496.483,57.4561,35.2525,20.9232,0.642462,28.7314,17.3071,6.23909,9.29516,2.9256,308.987,29.954,6.53032,3.05417,0.141195,18.06,13.1155,4.06963,5.16638,1.28732,363.891,37.2925,17.6139,7.50959,0.211598,20.793,11.8796,4.78603,6.84916,1.6436,172.552,19.2125,4.61586,2.45634,0.118561,14.062,8.32696,3.31521,4.07669,1.0218,905.817,113.181,56.1702,70.7427,3.27038,40.9599,27.2342,8.18804,17.6226,5.9353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,2,fell,25.8,6,28.7065,7.19055,1.49518,3.38119,202.859,28.8535,9.36691,4.11902,0.194228,18.2535,11.7873,4.05108,5.83201,2.12438,187.846,22.9586,6.97891,3.10127,0.166995,18.3973,9.98241,3.65324,4.95472,1.44865,384.191,49.5158,21.1761,7.64493,0.295976,24.7385,15.5842,5.96721,8.10306,1.98932,310.429,33.7096,32.3449,19.7982,0.523429,27.0832,17.7052,5.82031,9.35764,2.85049,337.473,45.0379,9.15321,3.92787,0.146882,19.3448,12.7184,4.79605,5.87264,1.48496,399.851,46.2156,61.9659,51.2622,6.17527,20.2768,13.7805,5.2307,10.7484,7.55064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,3,fell,10.74,3,42.394,24.0308,2.57753,3.73011,465.951,70.437,54.0254,44.2646,0.723265,32.7022,19.9642,8.63402,12.977,3.62039,314.35,28.8155,6.80782,3.16959,0.181618,19.822,11.1158,4.45053,5.79674,1.37545,429.986,39.9623,41.8639,34.3806,1.01125,13.1836,8.62869,3.69916,5.85815,1.74268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,4,fell,25.98,6,31.3411,27.7186,0.52735,0.769364,346.72,54.3914,29.569,21.8445,0.549003,27.0046,18.5022,5.89527,9.03264,2.8014,330.63,35.4258,6.75914,3.28522,0.156537,19.0897,13.2979,4.1792,5.38255,1.40149,309.654,36.5478,7.31142,3.75633,0.159083,20.0874,10.8891,4.77095,5.72554,1.42394,262.53,22.626,9.48629,4.29995,0.15679,21.6508,7.78893,4.85368,6.71191,1.55224,326.771,37.9464,11.1478,4.51333,0.253149,28.4352,15.2387,5.95855,7.7248,1.97023,236.57,28.6295,43.8564,55.348,1.4805,16.808,11.597,4.1152,10.2829,4.12156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,5,fell,50.86,11,39.291,17.4605,1.20811,1.89963,289.372,34.3201,11.97,4.47468,0.283397,28.9499,17.6846,5.7123,8.12722,2.80635,333.888,51.7037,9.80319,4.70931,0.143181,18.4029,15.9163,4.23547,5.41087,1.31938,237.916,28.8532,12.3011,4.85552,0.144105,16.0475,11.8361,3.89574,5.18161,1.21244,167.55,17.3647,3.95423,1.94478,0.113959,13.8552,7.34961,3.0712,3.88252,1.02028,792.513,116.752,48.1552,65.6956,1.1195,52.7317,29.9531,11.8758,16.1123,4.75141,595.233,99.8318,58.538,51.1108,0.874157,31.8713,25.4167,8.02325,13.5947,3.46807,325.837,38.2158,15.4467,5.63316,0.248327,25.9766,15.0891,5.62061,7.25704,1.9387,484.931,57.9321,23.901,24.8522,0.580505,37.2293,20.0086,7.30253,12.113,3.58138,158.294,15.7313,5.89415,2.89062,0.105396,13.5943,6.535,3.04746,4.21347,0.970047,499.559,70.4554,15.718,7.4637,0.239481,29.9567,23.7856,6.33311,7.82302,2.25904,173.376,19.2352,37.5133,99.9313,9.32848,13.5887,7.66836,4.77854,15.6499,6.08933,,,,,,,,,,
clobot_with_arms,6,fell,26.12,6,28.4821,9.06213,1.68144,3.57005,296.601,33.5389,15.052,5.16572,0.279678,29.4582,17.5395,6.31896,8.61561,2.8356,368.319,40.5163,6.77571,3.56888,0.157359,18.6619,12.8523,4.36127,5.21601,1.35112,337.968,43.3317,6.77299,3.21935,0.167509,19.7388,14.212,4.32736,5.45903,1.37753,501.962,82.2855,18.1935,13.1219,0.45172,29.8918,21.267,7.14944,10.3633,2.43007,305.756,40.9872,7.01005,3.65884,0.152518,18.3345,13.4776,4.03338,4.83505,1.43903,255.731,45.2306,61.9551,47.0722,4.74884,17.0573,11.5955,4.75151,9.87834,4.2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,7,fell,25.62,6,22.8572,17.9958,1.6762,0.833522,287.712,35.8019,10.2972,4.32132,0.207282,22.3855,15.0698,5.03715,6.97331,2.18281,475.718,71.9337,27.1756,27.434,0.504972,27.9774,22.2349,6.45428,9.53845,2.56666,156.63,17.594,4.23354,2.33075,0.082087,9.98248,6.18346,2.49504,2.79197,0.690088,279.025,30.2174,6.87118,2.84781,0.15795,19.8128,11.9262,4.19554,5.3251,1.40147,271.129,29.5032,6.84021,3.26809,0.183127,20.1791,11.6139,4.72965,5.73471,1.47364,597.292,43.5276,86.5656,39.7875,6.18583,27.0271,12.829,6.02579,14.4675,6.97027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,8,fell,10.9,3,84.3598,34.1773,2.53894,3.7304,321.068,37.7704,14.5637,6.65713,0.226101,22.1784,16.8066,4.99527,7.59039,2.2848,297.487,35.1468,16.2598,9.57659,0.376117,23.6593,11.4622,5.5739,8.56339,1.8621,764.48,71.6551,50.37,39.181,1.26971,31.3288,21.1622,7.28775,12.4217,3.06732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,9,fell,6.5,2,47.6756,38.5723,1.14665,3.01231,243.195,23.1226,8.80759,3.9569,0.200211,22.5143,11.9842,4.99695,7.00603,2.23847,303.076,35.558,44.539,59.5369,2.0767,22.1936,15.0199,5.37089,11.3368,3.9764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
